,date,trainer,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
143,2015-06-21,Y S Tsui,24,4,9,11,0.16666666666666666,0.375,0.4583333333333333
144,2015-06-24,A Lee,25,3,3,5,0.12,0.12,0.2
145,2015-06-24,A S Cruz,39,2,7,9,0.05128205128205128,0.1794871794871795,0.23076923076923078
146,2015-06-24,A Schutz,17,1,3,6,0.058823529411764705,0.17647058823529413,0.35294117647058826
147,2015-06-24,A T Millard,34,4,5,7,0.11764705882352941,0.14705882352941177,0.20588235294117646
148,2015-06-24,C Fownes,50,6,7,12,0.12,0.14,0.24
149,2015-06-24,C H Yip,39,2,4,7,0.05128205128205128,0.10256410256410256,0.1794871794871795
150,2015-06-24,C S Shum,30,2,6,10,0.06666666666666667,0.2,0.3333333333333333
151,2015-06-24,C W Chang,25,0,1,3,0.0,0.04,0.12
152,2015-06-24,D Cruz,31,1,1,4,0.03225806451612903,0.03225806451612903,0.12903225806451613
153,2015-06-24,D E Ferraris,28,2,4,4,0.07142857142857142,0.14285714285714285,0.14285714285714285
154,2015-06-24,D J Hall,20,3,5,6,0.15,0.25,0.3
155,2015-06-24,J Moore,37,6,11,14,0.16216216216216217,0.2972972972972973,0.3783783783783784
156,2015-06-24,J Size,32,8,11,16,0.25,0.34375,0.5
157,2015-06-24,K L Man,31,1,5,6,0.03225806451612903,0.16129032258064516,0.1935483870967742
158,2015-06-24,K W Lui,23,3,4,6,0.13043478260869565,0.17391304347826086,0.2608695652173913
159,2015-06-24,L Ho,17,0,2,5,0.0,0.11764705882352941,0.29411764705882354
160,2015-06-24,P F Yiu,29,1,4,6,0.034482758620689655,0.13793103448275862,0.20689655172413793
161,2015-06-24,P O'Sullivan,23,0,2,3,0.0,0.08695652173913043,0.13043478260869565
162,2015-06-24,R Gibson,28,1,5,7,0.03571428571428571,0.17857142857142858,0.25
163,2015-06-24,S Woods,18,0,0,1,0.0,0.0,0.05555555555555555
164,2015-06-24,T K Ng,17,1,2,3,0.058823529411764705,0.11764705882352941,0.17647058823529413
165,2015-06-24,T P Yung,28,2,3,4,0.07142857142857142,0.10714285714285714,0.14285714285714285
166,2015-06-24,W Y So,36,2,6,8,0.05555555555555555,0.16666666666666666,0.2222222222222222
167,2015-06-24,Y S Tsui,30,4,9,13,0.13333333333333333,0.3,0.43333333333333335
168,2015-06-27,A Lee,30,4,4,6,0.13333333333333333,0.13333333333333333,0.2
169,2015-06-27,A S Cruz,43,2,7,9,0.046511627906976744,0.16279069767441862,0.20930232558139536
170,2015-06-27,A Schutz,20,2,4,7,0.1,0.2,0.35
171,2015-06-27,A T Millard,38,4,5,8,0.10526315789473684,0.13157894736842105,0.21052631578947367
172,2015-06-27,C Fownes,55,6,8,14,0.10909090909090909,0.14545454545454545,0.2545454545454545
173,2015-06-27,C H Yip,43,2,4,7,0.046511627906976744,0.09302325581395349,0.16279069767441862
174,2015-06-27,C S Shum,33,2,6,10,0.06060606060606061,0.18181818181818182,0.30303030303030304
175,2015-06-27,C W Chang,29,0,1,4,0.0,0.034482758620689655,0.13793103448275862
176,2015-06-27,D Cruz,33,1,1,4,0.030303030303030304,0.030303030303030304,0.12121212121212122
177,2015-06-27,D E Ferraris,34,2,4,5,0.058823529411764705,0.11764705882352941,0.14705882352941177
178,2015-06-27,D J Hall,23,3,5,6,0.13043478260869565,0.21739130434782608,0.2608695652173913
179,2015-06-27,J Moore,40,7,13,17,0.175,0.325,0.425
180,2015-06-27,J Size,34,9,13,18,0.2647058823529412,0.38235294117647056,0.5294117647058824
181,2015-06-27,K L Man,37,2,6,8,0.05405405405405406,0.16216216216216217,0.21621621621621623
182,2015-06-27,K W Lui,27,4,6,9,0.14814814814814814,0.2222222222222222,0.3333333333333333
183,2015-06-27,L Ho,21,0,2,5,0.0,0.09523809523809523,0.23809523809523808
184,2015-06-27,P F Yiu,36,2,7,9,0.05555555555555555,0.19444444444444445,0.25
185,2015-06-27,P O'Sullivan,24,1,3,4,0.041666666666666664,0.125,0.16666666666666666
186,2015-06-27,R Gibson,31,1,6,8,0.03225806451612903,0.1935483870967742,0.25806451612903225
187,2015-06-27,S Woods,22,0,0,1,0.0,0.0,0.045454545454545456
188,2015-06-27,T K Ng,19,1,2,3,0.05263157894736842,0.10526315789473684,0.15789473684210525
189,2015-06-27,T P Yung,32,2,3,4,0.0625,0.09375,0.125
190,2015-06-27,W Y So,41,2,7,9,0.04878048780487805,0.17073170731707318,0.21951219512195122
191,2015-06-27,Y S Tsui,34,4,9,14,0.11764705882352941,0.2647058823529412,0.4117647058823529
192,2015-07-01,A Lee,34,4,4,6,0.11764705882352941,0.11764705882352941,0.17647058823529413
193,2015-07-01,A S Cruz,49,2,8,10,0.04081632653061224,0.16326530612244897,0.20408163265306123
194,2015-07-01,A Schutz,23,2,4,8,0.08695652173913043,0.17391304347826086,0.34782608695652173
