,date,jockey,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
272,2015-09-13,H N Wong,76,6,15,19,0.07894736842105263,0.19736842105263158,0.25
273,2015-09-13,J Moreira,80,22,31,46,0.275,0.3875,0.575
274,2015-09-13,K C Leung,90,2,9,20,0.022222222222222223,0.1,0.2222222222222222
275,2015-09-13,K C Ng,47,1,2,7,0.02127659574468085,0.0425531914893617,0.14893617021276595
276,2015-09-13,K K Chiong,4,0,2,2,0.0,0.5,0.5
277,2015-09-13,K Teetan,45,6,14,18,0.13333333333333333,0.3111111111111111,0.4
278,2015-09-13,M Chadwick,105,3,14,20,0.02857142857142857,0.13333333333333333,0.19047619047619047
279,2015-09-13,M L Yeung,101,9,17,29,0.0891089108910891,0.16831683168316833,0.2871287128712871
280,2015-09-13,N Callan,91,9,19,28,0.0989010989010989,0.2087912087912088,0.3076923076923077
281,2015-09-13,N Rawiller,78,5,17,23,0.0641025641025641,0.21794871794871795,0.2948717948717949
282,2015-09-13,R Fourie,15,1,1,6,0.06666666666666667,0.06666666666666667,0.4
283,2015-09-13,W M Lai,52,1,2,4,0.019230769230769232,0.038461538461538464,0.07692307692307693
284,2015-09-13,Y T Cheng,50,3,5,10,0.06,0.1,0.2
285,2015-09-16,B Prebble,82,11,22,33,0.13414634146341464,0.2682926829268293,0.4024390243902439
286,2015-09-16,C K Tong,56,1,2,2,0.017857142857142856,0.03571428571428571,0.03571428571428571
287,2015-09-16,C Schofield,26,2,4,5,0.07692307692307693,0.15384615384615385,0.19230769230769232
288,2015-09-16,C Y Ho,97,7,10,16,0.07216494845360824,0.10309278350515463,0.16494845360824742
289,2015-09-16,D Whyte,92,9,19,24,0.09782608695652174,0.20652173913043478,0.2608695652173913
290,2015-09-16,G Mosse,112,18,28,38,0.16071428571428573,0.25,0.3392857142857143
291,2015-09-16,H N Wong,80,6,15,19,0.075,0.1875,0.2375
292,2015-09-16,J Moreira,90,22,31,46,0.24444444444444444,0.34444444444444444,0.5111111111111111
293,2015-09-16,K C Leung,97,3,10,21,0.030927835051546393,0.10309278350515463,0.21649484536082475
294,2015-09-16,M Chadwick,111,3,14,20,0.02702702702702703,0.12612612612612611,0.18018018018018017
295,2015-09-16,M L Yeung,107,9,17,30,0.08411214953271028,0.1588785046728972,0.2803738317757009
296,2015-09-16,N Callan,100,9,20,29,0.09,0.2,0.29
297,2015-09-16,R Fourie,23,1,1,6,0.043478260869565216,0.043478260869565216,0.2608695652173913
298,2015-09-16,T H So,73,1,4,10,0.0136986301369863,0.0547945205479452,0.136986301369863
299,2015-09-16,Y T Cheng,55,3,5,10,0.05454545454545454,0.09090909090909091,0.18181818181818182
300,2015-09-23,C K Tong,58,1,2,2,0.017241379310344827,0.034482758620689655,0.034482758620689655
301,2015-09-23,C Schofield,27,2,4,5,0.07407407407407407,0.14814814814814814,0.18518518518518517
302,2015-09-23,G Mosse,114,18,29,39,0.15789473684210525,0.2543859649122807,0.34210526315789475
303,2015-09-23,H N Wong,81,6,15,19,0.07407407407407407,0.18518518518518517,0.2345679012345679
304,2015-09-23,J Moreira,91,23,32,47,0.25274725274725274,0.3516483516483517,0.5164835164835165
